train_i2t_loss,train_loss,epoch,step,val_i2t_loss,val_loss
2.774193286895752,2.774193286895752,0,49,,
2.7738094329833984,2.7738094329833984,0,99,,
2.773057460784912,2.773057460784912,0,149,,
2.7819528579711914,2.7819528579711914,0,199,,
2.777611255645752,2.777611255645752,0,249,,
,,0,257,2.7754833698272705,2.7754833698272705
2.778865337371826,2.778865337371826,1,299,,
2.772778272628784,2.772778272628784,1,349,,
2.7737209796905518,2.7737209796905518,1,399,,
2.777749538421631,2.777749538421631,1,449,,
2.773026943206787,2.773026943206787,1,499,,
,,1,515,2.773721694946289,2.773721694946289
2.772963047027588,2.772963047027588,2,549,,
2.7728705406188965,2.7728705406188965,2,599,,
2.774580955505371,2.774580955505371,2,649,,
2.773200511932373,2.773200511932373,2,699,,
