train_i2t_loss,train_loss,epoch,step,val_i2t_loss,val_loss
1.4678705611004261e-06,1.4678705611004261e-06,0,49,,
1.4916422514943406e-06,1.4916422514943406e-06,0,99,,
1.2707931773547898e-06,1.2707931773547898e-06,0,149,,
1.3674823549081339e-06,1.3674823549081339e-06,0,199,,
1.4684765119454823e-06,1.4684765119454823e-06,0,249,,
1.4229443650037865e-06,1.4229443650037865e-06,0,299,,
1.4339592553369584e-06,1.4339592553369584e-06,0,349,,
1.3683973065781174e-06,1.3683973065781174e-06,0,399,,
1.4485798374153092e-06,1.4485798374153092e-06,0,449,,
1.4394348681889824e-06,1.4394348681889824e-06,0,499,,
1.412011783941125e-06,1.412011783941125e-06,0,549,,
1.808825800253544e-06,1.808825800253544e-06,0,599,,
1.5816631275811233e-06,1.5816631275811233e-06,0,649,,
,,0,687,1.538155061098223e-06,1.538155061098223e-06
1.4149422895570751e-06,1.4149422895570751e-06,1,699,,
1.4439654023590265e-06,1.4439654023590265e-06,1,749,,
1.5269304185494548e-06,1.5269304185494548e-06,1,799,,
1.4402725128093152e-06,1.4402725128093152e-06,1,849,,
1.3202442232795875e-06,1.3202442232795875e-06,1,899,,
1.3778611673842533e-06,1.3778611673842533e-06,1,949,,
1.4921699857950443e-06,1.4921699857950443e-06,1,999,,
1.4598685993405525e-06,1.4598685993405525e-06,1,1049,,
1.4878318097544252e-06,1.4878318097544252e-06,1,1099,,
1.5677654801038443e-06,1.5677654801038443e-06,1,1149,,
1.4275059356805286e-06,1.4275059356805286e-06,1,1199,,
1.3731782928516623e-06,1.3731782928516623e-06,1,1249,,
1.3344260878511705e-06,1.3344260878511705e-06,1,1299,,
1.494672687840648e-06,1.494672687840648e-06,1,1349,,
,,1,1375,1.5435891782544786e-06,1.5435891782544786e-06
1.3711730844079284e-06,1.3711730844079284e-06,2,1399,,
1.6154376680788118e-06,1.6154376680788118e-06,2,1449,,
1.5989675148375682e-06,1.5989675148375682e-06,2,1499,,
1.5394401771118282e-06,1.5394401771118282e-06,2,1549,,
1.4644432440036326e-06,1.4644432440036326e-06,2,1599,,
1.390646957588615e-06,1.390646957588615e-06,2,1649,,
1.3723761185246985e-06,1.3723761185246985e-06,2,1699,,
1.3109818155498942e-06,1.3109818155498942e-06,2,1749,,
1.402378870807297e-06,1.402378870807297e-06,2,1799,,
1.3328590284800157e-06,1.3328590284800157e-06,2,1849,,
1.4598024336009985e-06,1.4598024336009985e-06,2,1899,,
1.4401027783605969e-06,1.4401027783605969e-06,2,1949,,
1.5013192751212046e-06,1.5013192751212046e-06,2,1999,,
1.448412831450696e-06,1.448412831450696e-06,2,2049,,
,,2,2063,1.535646788397571e-06,1.535646788397571e-06
1.496921640864457e-06,1.496921640864457e-06,3,2099,,
1.4726732615599758e-06,1.4726732615599758e-06,3,2149,,
1.5046832686493872e-06,1.5046832686493872e-06,3,2199,,
1.5399476751554175e-06,1.5399476751554175e-06,3,2249,,
1.5027392237243475e-06,1.5027392237243475e-06,3,2299,,
1.4849842955300119e-06,1.4849842955300119e-06,3,2349,,
1.408433945471188e-06,1.408433945471188e-06,3,2399,,
1.4779868706682464e-06,1.4779868706682464e-06,3,2449,,
1.4773104339838028e-06,1.4773104339838028e-06,3,2499,,
1.387750671710819e-06,1.387750671710819e-06,3,2549,,
1.4426300367631484e-06,1.4426300367631484e-06,3,2599,,
1.4605107026000042e-06,1.4605107026000042e-06,3,2649,,
1.4659329963251366e-06,1.4659329963251366e-06,3,2699,,
1.5220115301417536e-06,1.5220115301417536e-06,3,2749,,
,,3,2751,1.5291028603314771e-06,1.5291028603314771e-06
1.351151126982586e-06,1.351151126982586e-06,4,2799,,
1.4112241615293897e-06,1.4112241615293897e-06,4,2849,,
1.5596042430843227e-06,1.5596042430843227e-06,4,2899,,
1.41763803185313e-06,1.41763803185313e-06,4,2949,,
1.4491811271000188e-06,1.4491811271000188e-06,4,2999,,
1.4076930483497563e-06,1.4076930483497563e-06,4,3049,,
1.3001692877878668e-06,1.3001692877878668e-06,4,3099,,
1.4727309007867007e-06,1.4727309007867007e-06,4,3149,,
1.3902031241741497e-06,1.3902031241741497e-06,4,3199,,
