train_i2t_loss,train_loss,epoch,step,val_i2t_loss,val_loss
0.00014102787827141583,0.00014102787827141583,0,49,,
0.00013066502287983894,0.00013066502287983894,0,99,,
0.00013798098370898515,0.00013798098370898515,0,149,,
0.00012506102211773396,0.00012506102211773396,0,199,,
0.00012746048741973937,0.00012746048741973937,0,249,,
0.00013134472828824073,0.00013134472828824073,0,299,,
0.00013471512647811323,0.00013471512647811323,0,349,,
0.00013015425065532327,0.00013015425065532327,0,399,,
0.00013837972073815763,0.00013837972073815763,0,449,,
0.0001384818460792303,0.0001384818460792303,0,499,,
0.00012795858492609113,0.00012795858492609113,0,549,,
0.00014038487279321998,0.00014038487279321998,0,599,,
0.000130511776660569,0.000130511776660569,0,649,,
,,0,687,0.00013771447993349284,0.00013771447993349284
0.0001265299943042919,0.0001265299943042919,1,699,,
0.00013075489550828934,0.00013075489550828934,1,749,,
0.000127883002278395,0.000127883002278395,1,799,,
0.00013611468602903187,0.00013611468602903187,1,849,,
0.0001353635743726045,0.0001353635743726045,1,899,,
0.0001331315143033862,0.0001331315143033862,1,949,,
0.00012801086995750666,0.00012801086995750666,1,999,,
0.00013658720126841217,0.00013658720126841217,1,1049,,
0.0001296230184379965,0.0001296230184379965,1,1099,,
0.00012168097600806504,0.00012168097600806504,1,1149,,
0.00013531188596971333,0.00013531188596971333,1,1199,,
0.00013758879504166543,0.00013758879504166543,1,1249,,
0.00012926626368425786,0.00012926626368425786,1,1299,,
0.0001331559760728851,0.0001331559760728851,1,1349,,
,,1,1375,0.00013846570800524205,0.00013846570800524205
0.0001238307449966669,0.0001238307449966669,2,1399,,
0.00011780845670728013,0.00011780845670728013,2,1449,,
0.00014034396735951304,0.00014034396735951304,2,1499,,
0.00013022366329096258,0.00013022366329096258,2,1549,,
0.00013679135008715093,0.00013679135008715093,2,1599,,
0.00012106919893994927,0.00012106919893994927,2,1649,,
0.00012543177581392229,0.00012543177581392229,2,1699,,
0.0001293007080676034,0.0001293007080676034,2,1749,,
0.0001260549615835771,0.0001260549615835771,2,1799,,
0.0001361727772746235,0.0001361727772746235,2,1849,,
0.00012591975973919034,0.00012591975973919034,2,1899,,
0.00013410873361863196,0.00013410873361863196,2,1949,,
0.00013720913557335734,0.00013720913557335734,2,1999,,
0.00013122060045134276,0.00013122060045134276,2,2049,,
,,2,2063,0.00013599693193100393,0.00013599693193100393
0.00013131852028891444,0.00013131852028891444,3,2099,,
0.00011902381083928049,0.00011902381083928049,3,2149,,
0.00012477251584641635,0.00012477251584641635,3,2199,,
0.00013547090929932892,0.00013547090929932892,3,2249,,
0.00012969004455953836,0.00012969004455953836,3,2299,,
0.00012352605699561536,0.00012352605699561536,3,2349,,
0.00013405553181655705,0.00013405553181655705,3,2399,,
0.0001287179911741987,0.0001287179911741987,3,2449,,
0.00012870875070802867,0.00012870875070802867,3,2499,,
0.0001334282278548926,0.0001334282278548926,3,2549,,
