train_i2t_loss,train_loss,epoch,step
10.860281944274902,10.860281944274902,0,49
10.751760482788086,10.751760482788086,0,99
10.69045639038086,10.69045639038086,0,149
10.58945369720459,10.58945369720459,0,199
10.565302848815918,10.565302848815918,0,249
10.480656623840332,10.480656623840332,0,299
10.350699424743652,10.350699424743652,0,349
10.381022453308105,10.381022453308105,0,399
10.423115730285645,10.423115730285645,0,449
10.342227935791016,10.342227935791016,0,499
10.29791259765625,10.29791259765625,0,549
10.241823196411133,10.241823196411133,0,599
